Published Date,Video URL,Channel,Title,Description,,,,,,
7/23/2019 18:41,https://www.youtube.com/watch?v=e0T0rI-GiR4,Phillip Schlosser [HephestosMusic],Super Mario World Game Over LoFi Hip Hop Remix,"Instrumental Hip Hop/Trip Hop (i think its called lofi hip hop now) Remix of the Game Over Theme from Super Mario World (SNES). Download (Patrons): MP3: https://www.patreon.com/posts/vgm-remix-patron-20263773 WAV: https://www.patreon.com/posts/vgm-remix-patron-20263588 Part 2 (the one in the endscreen): https://www.youtube.com/watch?v=jxiQbMjF-YI Part 3: https://www.youtube.com/watch?v=LI5QqykEre0 Making of: https://www.youtube.com/watch?v=ma82P3U0F7E If you want to play this on loop without the outro thing, I uploaded it to SoundCloud: https://soundcloud.com/hephestosmusic/super-mario-world-game-over Or use this: https://youtubeloop.net/list?infoId=10651&pl=W3sidmlkZW9JZCI6ImUwVDBySS1HaVI0IiwicGxheWVyTmFtZSI6Inl0UGxheWVyMSIsInNsaWRlclZhbCI6WzAsMjM3XX1d ""Can I use this in my videos?"": http://phillipschlosser.com/faq.html --------------- Composed by Koji Kondo Remix/Arrangement by me Original version: https://www.youtube.com/watch?v=CVH1ICPLfnk Super Mario World (SNES) (Super Mario Bros. 4 on Super Famicom) was developed by Nintendo EAD and released in 1991 by Nintendo. --------------- Me: YouTube: http://youtube.com/hephestosmusic Patreon: https://patreon.com/hephestosmusic Twitter: https://twitter.com/hephestosmusic SoundCloud: https://soundcloud.com/hephestosmusic BandCamp: https://hephestos.bandcamp.com Spotify: https://play.spotify.com/artist/4Cm6rqe6hZjG3q1mwmdA1Z http://www.PhillipSchlosser.com",,,,,,
1/17/2020 15:58,https://www.youtube.com/watch?v=GdzrrWA8e7A,GameChops,Zelda & Chill,"Support Zelda & Chill ~ http://smarturl.it/zeldachill Zelda & Chill combines the Legend of Zelda video game music with laid-back lofi hip hop beats. Produced by German beat-maker Mikel and mastered by Philadelphia based Dj CUTMAN, Zelda & Chill features 14 Zelda themes from the across the series history. Zelda & Chill contains music from the original Legend of Zelda for NES all the way up to Breath of the Wild. These tracks were recreated with classic keyboard sounds, atmospheric synths and laid back beats, the perfect soundtrack to study, chill, and save Hyrule to. Zelda & Chill’s tracklist features music from the original LoZ, Link To The Past, Majora’s Mask, Wind Waker, Ocarina of Time, Skyward Sword, and Breath of the Wild. Themes like Gerudo Valley, Song of Storms and Lost Woods are sure to please long time series fans. Compositions by Koji Kondo, Toru Minegishi, Hajime Wakai, Takeshi Hama, Manaka Kataoka, and Yasuaki Iwata have been licensed for the sale and streaming of Zelda & Chill. Zelda & Chill is available on platforms worldwide. ~ http://smarturl.it/zeldachill Search ""Zelda Chill"" on Spotify, Apple Music, iTunes, Pandora, and Play. Support by adding it to your playlists! ▾ Follow Mikel YouTube ~ https://youtube.com/user/MikelTBE Facebook ~ https://facebook.com/Mikelcorleoneproductions Twitter ~ https://twitter.com/Mikel_beats Thanks to Great-Bit Arcade for the ""Scenic Zelda"" series ~ https://www.youtube.com/watch?v=z7N8K-_BwG4&list=PL89YHk19iMUpmI1BL93bot1NvyIP9FsXV Shoutout to GameSpot for the official weather timelapse used for Song of Storms visualization ~ https://www.youtube.com/watch?v=mzDJ6DI170g ▾ Visuals by Dj CUTMAN YouTube ~ http://youtube.com/djcutman Twitter ~ http://twitter.com/videogamedj Instagram ~ http:/instagram.com/videogamedj ▾ About GameChops GameChops is a record label dedicated to releasing and remixing the best video game music out there. The name first appeared in 2010 as a mixtape by Dj CUTMAN, who later went on to found the label in 2012. GameChops was one of the first record labels to license and publish video game music on platforms like iTunes and Spotify. ▾ Follow GameChops Instagram ~ http://instagram.com/GameChops Facebook ~ http://facebook.com/GameChops Twitter ~ http://twitter.com/GameChops Web ~ http://www.gamechops.com Download / Stream Zelda & Chill ~ http://smarturl.it/zeldachill #GameChops #LofiHipHop #Zelda",,,,,,
1/17/2020 15:41,https://www.youtube.com/watch?v=r7mQLokqoO8,EDM Bot,Super Mario World - Game Over (BKNAPP Remix),"Super Mario World Game Over Song Remix Remixed by BKNAPP ♫ Listen on Soundcloud: https://soundcloud.com/bknappbeats/game-over-super-mario-world-snes-beats-vol-3-out-soonish 🤖 Follow BKNAPP: https://soundcloud.com/bknappbeats https://twitter.com/bknapp40m https://bknapp.bandcamp.com/ 🤖 Follow EDM Bot: https://soundcloud.com/edmbot/ https://www.facebook.com/edmbot/ https://plus.google.com/+edmbot 🤖 SUBMIT YOUR ARTWORK 🤖 You like to draw and would like your art to be featured on an EDM bot Music Video? Send an email to edmbot.yt@gmail.com with your art attached! ⚙⚙⚙⚙⚙⚙⚙⚙⚙⚙⚙⚙⚙⚙⚙⚙⚙⚙⚙⚙ !IMPORTANT: If any artist or label has copyright issues with my videos (including artists of the images used), please send an e-mail to: edmbot.yt@gmail.com and I will remove it immediately!",,,,,,
7/23/2019 19:07,https://www.youtube.com/watch?v=8Y5kaNbVgeo,Mewmore,Mewmore // National Park (Pokémon Gold & Silver Remix),Enjoy. Download: https://drive.google.com/open?id=0B-6jcBATJODvMFFlaGtyMDVuZUU Twitter: http://twitter.com/mewmore Instagram: http://instagram.com/mewmore SoundCloud: http://soundcloud.com/mewmore Discord server: https://discord.gg/dh4HEer Tumblr: http://mewmore.tumblr.com Snapchat: mewmore,,,,,,
1/17/2020 15:41,https://www.youtube.com/watch?v=Snz_HdQgFN0,Vect,The Legend of Zelda - Fairy Fountain (Vect lofi Remix) ✨,"The N64 zeldas where the thing that make like videogames when I was 3 years old. Both use the fairy fountain theme in the file select menu and is just something that brings me nostalgia. This track is from the new game ep out now on bandcamp! https://vectress.bandcamp.com/album/new-game-ep I made this a long time ago and posted it on souncloud as ""Shut In"" since I thought the theme was very recognizable and it got kinda popular (which i didnt expect) to the point that some people reuploaded it to youtube so here is my upload. ✨ The Artwork was made by phazed superphazed.tumblr.com/ www.instagram.com/instaphazed/ superphazed.deviantart.com/",,,,,,
7/25/2019 15:05,https://www.youtube.com/watch?v=7Jvmh04otBI,GlitchxCity,Pokémon X and Y: Snowbelle City Remix,▶▶ Download link available below ◀◀ ★ iTunes ★ https://goo.gl/Oy8XSY ★ Twitter ★ https://twitter.com/GlitchxCity ★ Instagram ★ https://instagram.com/glitchxcity ★ SoundCloud ★ https://soundcloud.com/glitchxcity Artwork: http://namie-kun.deviantart.com/art/Snowbelle-427286576 Free Download: https://soundcloud.com/glitchxcity/x-and-y-snowbelle-city-remix,,,,,,
1/17/2020 15:41,https://www.youtube.com/watch?v=hSXGRZ0lcj4,insaneintherainmusic,Mario Galaxy: Rosalina's Comet Observatory Lo-fi Hip Hop || insaneintherainmusic (feat. DJ Cutman),"Mario can float through space while grooving to some low-fi jazz hip-hop...right? Insaneintherainmusic's jazz cover / remix of Rosalina's Comet Observatory from Super Mario Galaxy, featuring production by DJ Cutman! DJ Cutman's Links: Gamechops (Video Game Remix Record Label): https://www.youtube.com/user/gamechops Twitter (Gamechops): https://twitter.com/GameChops Twitter (DJ Cutman): https://twitter.com/VideoGameDJ 🎵 Stream or download this song • • • https://song.link/us/i/1437905686 🕹️ Watch more Mario covers: https://www.youtube.com/playlist?list=PLG5z-46tZguIGjjoc27r63NxM9EowTetv 🎷 Subscribe for more Video Game Jazz! • • • http://bit.ly/insanesubscribe 🎼 Sheet Music • • • No sheet music for this one! Did it all by ear :) So begins Year 6! It's pretty cool that I've been doing covers on YouTube for over 5 years now, and I thought rehashing one of my old arrangements would be a fantastic way to start. (For those of you curious, yes, the Year 5 compilation will be coming your way soon, as soon as licensing clears up!) Super Mario Galaxy is such a fun game. I've only ever played Galaxy 2, personally, but from the Let's Plays I've watched of Galaxy 1, it looks amazing. I miss playing a 3D Mario game quite as big as Galaxy 1 was, so I'm definitely looking forward to what Super Mario Odyssey has to offer! DJ Cutman approached me a long time ago and asked if I'd be interested in sending him stems of one of my songs for him to remix and produce. It took a while for this to actually happen, but after I started listening to some awesome low-fi hip hop mixes by Blazo, I decided to give it a try! Cutman did a wonderful job with this track, and was fine with all the nit-picky changes that I made to this track! If this brand of music isn't exactly your thing, don't worry, this arrangement was an experiment at trying out a different style; normal videos will be resuming soon :) I make jazz covers & remixes of video game music every Saturday at 12:30 PM EST on my channel! My channel combines my loves of jazz and video game music, creating covers and remixes you'll enjoy. ♫ ""Rosalina in the Observatory"" from ""Super Mario Galaxy"" composed by Koji Kondo Important insaneintherainmusic Links: 🐦 Twitter • • • https://twitter.com/insanerainmusic 📘 Facebook • • • https://www.facebook.com/Insaneintherainmusic 📷 Instagram • • • https://instagram.com/insaneintherainmusic ❤️ Patreon • • • http://bit.ly/supportinsane 💬 Discord Sever • • • https://discord.gg/Ju97889 🎷 My Equipment • • • http://kit.com/insaneintherainmusic 🔊 Distrokid VIP Link • • • http://distrokid.com/vip/insane ❕Submit a Song Request• • • https://goo.gl/forms/bvIwgRSjrU3vyxGG3",,,,,,
1/17/2020 15:58,https://www.youtube.com/watch?v=4PqZrMih3ws,GameChops,Zelda & Chill ~ Song of Storms (Mikel Lofi Remix),"Support Zelda & Chill ~ http://smarturl.it/zeldachill Zelda & Chill combines the Legend of Zelda video game music with laid-back lofi hip hop beats. Produced by German beat-maker Mikel and mastered by Philadelphia based Dj CUTMAN, Zelda & Chill features 14 Zelda themes from the across the series history. Zelda & Chill contains music from the original Legend of Zelda for NES all the way up to Breath of the Wild. These tracks were recreated with classic keyboard sounds, atmospheric synths and laid back beats, the perfect soundtrack to study, chill, and save Hyrule to. Zelda & Chill’s tracklist features music from the original LoZ, Link To The Past, Majora’s Mask, Wind Waker, Ocarina of Time, Skyward Sword, and Breath of the Wild. Themes like Gerudo Valley, Song of Storms and Lost Woods are sure to please long time series fans. Compositions by Koji Kondo, Toru Minegishi, Hajime Wakai, Takeshi Hama, Manaka Kataoka, and Yasuaki Iwata have been licensed for the sale and streaming of Zelda & Chill. Zelda & Chill is available on platforms worldwide. ~ http://smarturl.it/zeldachill Search ""Zelda Chill"" on Spotify, Apple Music, iTunes, Pandora, and Play. Support by adding it to your playlists! ▾ Follow Mikel YouTube ~ https://youtube.com/user/MikelTBE Facebook ~ https://facebook.com/Mikelcorleoneproductions Twitter ~ https://twitter.com/Mikel_beats Shoutout to GameSpot for the official weather timelapse used for Song of Storms visualization ~ https://www.youtube.com/watch?v=mzDJ6DI170g ▾ Visuals by Dj CUTMAN YouTube ~ http://youtube.com/djcutman Twitter ~ http://twitter.com/videogamedj Instagram ~ http:/instagram.com/videogamedj ▾ About GameChops GameChops is a record label dedicated to releasing and remixing the best video game music out there. The name first appeared in 2010 as a mixtape by Dj CUTMAN, who later went on to found the label in 2012. GameChops was one of the first record labels to license and publish video game music on platforms like iTunes and Spotify. ▾ Follow GameChops Instagram ~ http://instagram.com/GameChops Facebook ~ http://facebook.com/GameChops Twitter ~ http://twitter.com/GameChops Web ~ http://www.gamechops.com Download / Stream Zelda & Chill ~ http://smarturl.it/zeldachill #Zelda #LoFi #VGM",,,,,,
1/17/2020 15:58,https://www.youtube.com/watch?v=0yt_FZ5DnsU,GameChops,Deltarune ~ Legend (Tudd Chillwave Remix),"We have Deltarune music on Spotify!~ http://smarturl.it/tuddlegend A meditative and melancholy remix of LEGEND from DELTARUNE, the new game from Undertale creator Toby Fox. Laid back hip hop beat over hi-fi piano, celesta, and concert bells. Carefully mixed and deliberately paced, Tudd's cover of LEGEND seeks to capture the emotion of the original composition, while transforming it into a progressive listening experience. Download Tudd ~ Legend (Deltarune) ► http://smarturl.it/tuddlegend Artwork by Pixel Raccoon ~ https://twitter.com/PixelRaccoon/status/1059837205772988416 Subscribe, and never miss a track ► http://bit.ly/gcsub ▾ Follow Tudd ▾ ► https://soundcloud.com/tuddmusic ► https://www.youtube.com/c/TuddMusic ► https://www.instagram.com/teodordumi/ SUBSCRIBE ► http://bit.ly/gcsub SPOTIFY ► http://bit.ly/gamechopsspotify ALL PLAYLISTS ► https://www.youtube.com/user/gamechops/playlists?flow=list&sort=dd&view=1 ▾ ABOUT GAMECHOPS ▾ GameChops is a record label dedicated to releasing and remixing the best video game music out there. The name first appeared in 2010 as a mixtape by Dj CUTMAN, who later went on to found the label in 2012. GameChops was one of the first record labels to license and publish video game music on platforms like iTunes and Spotify, and works with artists all around the world. ▾ FOLLOW GAMECHOPS ▾ ► http://youtube.com/GameChops ► http://instagram.com/GameChops ► http://soundcloud.com/GameChops ► http://facebook.com/GameChops ► http://twitter.com/GameChops ► http://www.gamechops.com #Deltarune #Undertale #VGM",,,,,,
1/17/2020 15:41,https://www.youtube.com/watch?v=YXXFzrbu8tc,GlitchxCity,Pokémon Diamond and Pearl: Route 209 [Lofi Remix],💚 Spotify: https://goo.gl/ME1Zoa 💙 Apple Music: https://goo.gl/7JEba7 ❤️ Google Play: https://goo.gl/j4mrWF ★ Twitter ★ https://twitter.com/GlitchxCity ★ Twitch ★ https://www.twitch.tv/glitchcity ★ Instagram ★ https://instagram.com/glitchxcity ★ Patreon ★ https://www.patreon.com/GlitchxCity ★ SoundCloud ★ https://soundcloud.com/glitchxcity Artwork: Airi/pixiescout | http://pixiescout.tumblr.com/post/166170089618/after-the-morning-showers Free Download: https://soundcloud.com/glitchxcity/diamond-and-pearl-route-209-lo-fi-remix,,,,,,
